ID_Test,MAC_%,Model_Load_kg,Acceleration_m/s2,V_m/s,Fxw_N,Pitch_deg
2103,26,7,0.7,0.252105292,0.658874912,0.145949673
2103,26,7,0.7,0.252362292,0.431479112,0.145949673
2103,26,7,0.7,0.227380292,0.602025962,0.145949673
2103,26,7,0.7,0.285587292,0.927325562,0.145949673
2103,26,7,0.7,0.246439292,0.852315849,0.149001451
2103,26,7,0.7,0.289192292,0.777306137,0.152053229
2103,26,7,0.7,0.281466292,0.702296424,0.155105007
2103,26,7,0.7,0.277860292,0.627286712,0.158156784
2103,26,7,0.7,0.316235292,0.491486882,0.161208562
2103,26,7,0.7,0.332461292,0.652557272,0.16426034
2103,26,7,0.7,0.345596292,0.892578542,0.167312118
2103,26,7,0.7,0.351777292,0.879946532,0.170363895
2103,26,7,0.7,0.319583292,0.867314522,0.174270051
2103,26,7,0.7,0.373669292,0.854682512,0.178176207
2103,26,7,0.7,0.359504292,1.031547002,0.182082362
2103,26,7,0.7,0.336324292,0.804151202,0.185988518
2103,26,7,0.7,0.374442292,0.911531462,0.188863979
2103,26,7,0.7,0.388092292,0.677818022,0.191739441
2103,26,7,0.7,0.409984292,0.895737362,0.194614903
2103,26,7,0.7,0.397364292,0.712565042,0.197490365
2103,26,7,0.7,0.408954292,0.968380412,0.200365826
2103,26,7,0.7,0.445527292,0.954695462,0.203241288
2103,26,7,0.7,0.424150292,0.941010512,0.20611675
2103,26,7,0.7,0.457116292,0.927325562,0.208992211
2103,26,7,0.7,0.441921292,1.031547002,0.206288365
2103,26,7,0.7,0.477463292,0.955745132,0.203584519
2103,26,7,0.7,0.485705292,1.116815522,0.206345571
2103,26,7,0.7,0.475918292,1.094703782,0.209106622
2103,26,7,0.7,0.507082292,1.013643752,0.215059964
2103,26,7,0.7,0.514551292,0.932583722,0.221013306
2103,26,7,0.7,0.504249292,0.851523692,0.226966648
2103,26,7,0.7,0.543912292,0.898896182,0.232919989
2103,26,7,0.7,0.529231292,0.832570772,0.238873331
2103,26,7,0.7,0.555244292,0.958903952,0.245557
2103,26,7,0.7,0.558592292,1.309464302,0.252240668
2103,26,7,0.7,0.564258292,0.722031692,0.258924336
2103,26,7,0.7,0.585120292,0.829411952,0.265608005
2103,26,7,0.7,0.578166292,1.116815522,0.264173894
2103,26,7,0.7,0.600831292,1.217878142,0.262739784
2103,26,7,0.7,0.617829292,1.177872962,0.265127756
2103,26,7,0.7,0.629162292,1.137867782,0.267515728
2103,26,7,0.7,0.642554292,1.097862602,0.269903701
2103,26,7,0.7,0.651311292,1.015752902,0.267037692
2103,26,7,0.7,0.654659292,0.968380412,0.264171682
2103,26,7,0.7,0.666507292,1.154711552,0.264909863
2103,26,7,0.7,0.679899292,1.116815522,0.265648044
2103,26,7,0.7,0.697413292,1.243148702,0.266386225
2103,26,7,0.7,0.711836292,1.059966572,0.267124406
2103,26,7,0.7,0.723683292,1.135768442,0.267862587
2103,26,7,0.7,0.726259292,1.262091812,0.268600768
2103,26,7,0.7,0.752529292,1.350528962,0.269338949
2103,26,7,0.7,0.759741292,1.262091812,0.27007713
2103,26,7,0.7,0.775451292,1.341052502,0.270815311
2103,26,7,0.7,0.790390292,1.189458572,0.271553492
2103,26,7,0.7,0.794253292,1.375789712,0.275461886
2103,26,7,0.7,0.812539292,1.041013652,0.27937028
2103,26,7,0.7,0.814342292,1.173661202,0.283978704
2103,26,7,0.7,0.826704292,1.306308752,0.288587128
2103,26,7,0.7,0.848081292,1.438956302,0.293195552
2103,26,7,0.7,0.853490292,1.284203552,0.297803976
2103,26,7,0.7,0.875897292,1.350528962,0.302412401
2103,26,7,0.7,0.883624292,1.438956302,0.307020825
2103,26,7,0.7,0.897789292,1.584232592,0.311629249
2103,26,7,0.7,0.909379292,1.438956302,0.315846734
2103,26,7,0.7,0.914530292,1.495805252,0.320064219
2103,26,7,0.7,0.941316292,1.350528962,0.324281704
2103,26,7,0.7,0.951103292,1.647399182,0.328499188
2103,26,7,0.7,0.961662292,1.540018922,0.33539835
2103,26,7,0.7,0.984069292,1.413685742,0.342297512
2103,26,7,0.7,0.991796292,1.663193282,0.344359737
2103,26,7,0.7,1.018839292,1.862159702,0.346421963
2103,26,7,0.7,1.041761292,1.650558002,0.348484189
2103,26,7,0.7,1.046912292,1.868477342,0.350546415
2103,26,7,0.7,1.046397292,1.606344332,0.352608641
2103,26,7,0.7,1.045882292,1.811628392,0.354670867
2103,26,7,0.7,1.080394292,1.729508882,0.356733092
2103,26,7,0.7,1.112846292,1.877953802,0.358795318
2103,26,7,0.7,1.105119292,1.502122892,0.360857544
2103,26,7,0.7,1.152509292,1.884271442,0.36291977
2103,26,7,0.7,1.116709292,1.909535462,0.364981996
2103,26,7,0.7,1.155085292,1.934799482,0.367044222
2103,26,7,0.7,1.130875292,1.960063502,0.369106447
2103,26,7,0.7,1.178264292,1.919008652,0.373456189
2103,26,7,0.7,1.197581292,2.051649662,0.377805931
2103,26,7,0.7,1.218443292,2.013753632,0.381782899
2103,26,7,0.7,1.218958292,2.045332022,0.385759867
2103,26,7,0.7,1.223079292,2.084022662,0.389736834
2103,26,7,0.7,1.254500292,2.122713302,0.393713802
2103,26,7,0.7,1.256560292,2.161403942,0.39769077
2103,26,7,0.7,1.281543292,2.200094582,0.401667738
2103,26,7,0.7,1.281801292,1.925326292,0.405644705
2103,26,7,0.7,1.282831292,2.152712282,0.410136415
2103,26,7,0.7,1.313737292,2.402219822,0.414628125
2103,26,7,0.7,1.370657292,2.155871102,0.419119834
2103,26,7,0.7,1.343871292,2.376949262,0.423611544
2103,26,7,0.7,1.439166292,2.348529692,0.428103254
2103,26,7,0.7,1.401305292,2.181141662,0.432594964
2103,26,7,0.7,1.374520292,2.443274672,0.437086673
2103,26,7,0.7,1.437878292,2.146404452,0.448073673
2103,26,7,0.7,1.441999292,2.648558732,0.46821534
2103,26,7,0.7,1.469300292,2.592762722,0.488357007
2103,26,7,0.7,1.369884292,2.536966712,0.498732895
2103,26,7,0.7,1.507675292,2.481170702,0.509108784
2103,26,7,0.7,1.516947292,2.544337292,0.519891747
2103,26,7,0.7,1.518750292,2.247467072,0.53067471
2103,26,7,0.7,1.558671292,2.632764632,0.539762031
2103,26,7,0.7,1.531370292,2.544337292,0.548849352
2103,26,7,0.7,1.558413292,2.506441262,0.557936673
2103,26,7,0.7,1.595758292,2.736986072,0.57990934
2103,26,7,0.7,1.594728292,2.301157202,0.601882007
2103,26,7,0.7,1.602197292,2.616980342,0.618361562
2103,26,7,0.7,1.690538292,2.759097812,0.634841118
2103,26,7,0.7,1.616620292,2.844366332,0.658644636
2103,26,7,0.7,1.609151292,2.763306302,0.682448155
2103,26,7,0.7,1.645981292,2.682246272,0.705031328
2103,26,7,0.7,1.668646292,2.601186242,0.7276145
2103,26,7,0.7,1.703158292,2.547496112,0.750197673
2103,26,7,0.7,1.729429292,2.730678242,0.799635673
2103,26,7,0.7,1.677145292,3.068603312,0.827101673
2103,26,7,0.7,1.760593292,1.044172472,0.887526673
2103,26,7,0.7,1.782227292,3.191777672,0.925978673
2103,26,7,0.7,1.811331292,2.658035192,0.997389673
2103,26,7,0.7,1.791757292,2.625400592,1.035841673
2103,26,7,0.7,1.769607292,2.592765992,1.107252673
2103,26,7,0.7,1.875720292,2.560131392,1.151198673
2103,26,7,0.7,1.689766292,2.995970072,1.233595673
2103,26,7,0.7,1.945002292,2.711725322,1.272047673
2103,26,7,0.7,1.796650292,3.037024922,1.354445673
2103,26,7,0.7,2.077127292,2.819105582,1.398390673
